Temperature_root,Time_root,Re,Rct,Sense_current,Battery_current,Current_ratio,Battery_impedance
24,733516.871873368,0.0612335902100034,0.0785415394665875,641.7734375+-13.8826580047607i,516.898681640625+-104.692687988281i,1.19788415728543+0.215761924495616i,0.00334093084408623+-0.335995521985459i
24,733516.871873368,0.0612335902100034,0.0785415394665875,810.741882324219+-38.8688125610352i,345.441467285156+-80.0297393798828i,2.25216131275134+0.409247538956317i,0.161524918315467+-0.0135926649864196i
24,733516.871873368,0.0612335902100034,0.0785415394665875,813.673583984375+-42.631103515625i,344.147247314453+-76.8989791870117i,2.27824715359521+0.385194936080474i,0.0126365074646432+0.0234076764923426i
24,733516.871873368,0.0612335902100034,0.0785415394665875,806.329406738281+-50.9226226806641i,353.186645507812+-67.7050399780273i,2.22874919072397+0.283065431974513i,0.0291701734444852+-0.0702964385263671i
24,733516.871873368,0.0612335902100034,0.0785415394665875,805.018127441406+-50.3015251159668i,354.966156005859+-61.8804092407227i,2.22495971615714+0.246164010809293i,0.131265451207033+-0.0749490762755695i
24,733516.871873368,0.0612335902100034,0.0785415394665875,804.277282714844+-53.93603515625i,355.302947998047+-58.2156829833984i,2.2286791857572+0.213361713491627i,0.202899989269609+-0.0105683473930893i
24,733516.871873368,0.0612335902100034,0.0785415394665875,803.315063476562+-60.0189361572266i,356.028594970703+-52.003231048584i,2.23329798032991+0.157627155534582i,0.228578741469041+0.0600474977572434i
24,733516.871873368,0.0612335902100034,0.0785415394665875,802.292846679688+-62.3716621398926i,358.418579101562+-49.1061401367188i,2.2205833647973+0.130218181976233i,0.230290550650893+0.107996209576375i
24,733516.871873368,0.0612335902100034,0.0785415394665875,803.09326171875+-64.6004409790039i,357.20166015625+-47.5078430175781i,2.2328473368766+0.116117376849266i,0.226112386016355+0.129436381337701i
24,733516.871873368,0.0612335902100034,0.0785415394665875,801.601318359375+-66.0129699707031i,358.379699707031+-45.6010246276855i,2.22416480794299+0.0988092356829488i,0.223064342780209+0.1292059265755i
