Temperature_root,Time_root,Rectified_Impedance
24,733516.871873368,0.0799473830432883+-0.000865930782838261i
24,733516.871873368,0.0790280314434892+-0.00110217773083868i
24,733516.871873368,0.0791008661183552+-0.00138112938291341i
24,733516.871873368,0.0790496919566095+-0.000715364515407449i
24,733516.871873368,0.0784255605666072+-0.000405346392821827i
24,733516.871873368,0.0795775887809059+-0.000520475802856226i
24,733516.871873368,0.0793190489940394+-0.000818475955318934i
24,733516.871873368,0.0770396952898827+0.000267234955736289i
24,733516.871873368,0.0773667970022686+0.000218404365743527i
24,733516.871873368,0.0780148568471634+-0.00111889163344966i
24,733516.871873368,0.0784050821473505+-0.000709110989072403i
24,733516.871873368,0.0770334566502902+-0.000687299105721487i
24,733516.871873368,0.0775435799370759+-0.00129223205724142i
24,733516.871873368,0.0774528943342789+-0.000634170234541768i
24,733516.871873368,0.0762373193344932+-0.000538151997682375i
24,733516.871873368,0.076059430284835+-0.00101569022987099i
24,733516.871873368,0.0767583745825801+-0.0015617320846484i
24,733516.871873368,0.0755714106690599+-0.0011057468846688i
24,733516.871873368,0.0746914080053551+-0.000937088232294976i
24,733516.871873368,0.073168261354725+-0.00160672759353732i
24,733516.871873368,0.0724965738279678+-0.00182467246294262i
24,733516.871873368,0.072856946728242+-0.00179839590721475i
24,733516.871873368,0.0705880959195104+-0.00267476430077184i
24,733516.871873368,0.0687082865330158+-0.00145122362666122i
24,733516.871873368,0.0697439823147102+-0.001669343417826i
24,733516.871873368,0.0683177436468654+-0.00191184999896355i
24,733516.871873368,0.067675544938548+-0.00144661143739113i
24,733516.871873368,0.066915093304769+-0.00178431668584495i
24,733516.871873368,0.065567062735925+-0.00157381530870774i
24,733516.871873368,0.0643950544517424+-0.00175095300898498i
24,733516.871873368,0.0635120358830921+-0.0017540011483317i
24,733516.871873368,0.0623359931787332+-0.00159333674053241i
24,733516.871873368,0.0609802653378417+-0.00149775400767091i
24,733516.871873368,0.0598920293837172+-0.000749075112678703i
24,733516.871873368,0.0596153045137581+-0.000658602602664673i
24,733516.871873368,0.0597288806554739+3.52075572260462e-05i
24,733516.871873368,0.0587437280411673+0.000680686432995698i
24,733516.871873368,0.0596566452017678+0.00176151770422169i
24,733516.871873368,0.0606389280819814+0.00309986654427514i
24,733516.943938796,0.102331172659081+-0.00457525736987396i
24,733516.943938796,0.0851639293236589+-0.0012057658937875i
24,733516.943938796,0.0861982153733556+-0.0010128118391448i
24,733516.943938796,0.0860522368079822+-0.00255216843515106i
24,733516.943938796,0.0859556807514065+-0.00142427660630019i
24,733516.943938796,0.0868705424764082+-0.00118698458054026i
24,733516.943938796,0.0840433163265161+-0.00231800106386517i
24,733516.943938796,0.0849272388936442+-0.00134339560150086i
24,733516.943938796,0.0843531187750732+-0.00191761061981297i
24,733516.943938796,0.0837862961057494+-0.00183665381433246i
24,733516.943938796,0.0836120599161551+-0.00177569551383529i
24,733516.943938796,0.0822438516908385+-0.00197037809031479i
24,733516.943938796,0.0812881845909153+-0.00227641524214894i
24,733516.943938796,0.0830902016374144+-0.00240544399506199i
24,733516.943938796,0.0802689677525229+-0.00205229219873123i
24,733516.943938796,0.0784739310024818+-0.00160582206057662i
24,733516.943938796,0.0780605737063634+-0.00292327483100075i
24,733516.943938796,0.0765828208495822+-0.00232065792729009i
24,733516.943938796,0.0753045661395837+-0.00214601669680632i
24,733516.943938796,0.0742959604192562+-0.00232884218946352i
24,733516.943938796,0.0728879462877691+-0.00243756116526943i
24,733516.943938796,0.0709228799227924+-0.00236809807197268i
24,733516.943938796,0.0697476259622928+-0.00235055519704537i
24,733516.943938796,0.0680112810210112+-0.00209382719302816i
24,733516.943938796,0.0687682566695084+-0.00189908010565039i
24,733516.943938796,0.0660110422076725+-0.00176520466365946i
24,733516.943938796,0.0669881678739639+-0.00139799291123748i
24,733516.943938796,0.0654363850601543+-0.00150606050836702i
24,733516.943938796,0.0655901090379276+-0.00147274299056577i
24,733516.943938796,0.0648813506787929+-0.00144377085873696i
24,733516.943938796,0.0638451887159733+-0.00131128066571274i
24,733516.943938796,0.0630958329549286+-0.000525659332455772i
24,733516.943938796,0.0622122348387998+-0.00111518632864062i
24,733516.943938796,0.0616872900787312+-0.000638568286556198i
24,733516.943938796,0.0620729223992115+2.80756411022957e-05i
24,733516.943938796,0.0611422079510838+0.000373717330244051i
24,733516.943938796,0.0615151469708914+0.00134028197127418i
24,733516.943938796,0.0639963862182961+0.00184952799433894i
