Temperature_root,Time_root,Time,Voltage_measured,Current_measured,Temperature_measured,Current_load,Voltage_load,Capacity
24,733596.635750868,0,4.18810865112454,0.000130667341566367,23.8195202516044,0.0006,0,1.85500452079108
24,733596.635750868,9.422,4.18819594264703,0.0014590806056812,23.8288071595811,0.0006,4.203,1.85500452079108
24,733596.635750868,19.578,3.9774320556542,-2.0056719553334,23.8449444892801,1.9988,3.029,1.85500452079108
24,733596.635750868,29.016,3.9619742177665,-2.01220579499469,23.9255773300323,1.9988,3.026,1.85500452079108
24,733596.635750868,38.485,3.9498352354576,-2.01200464067214,24.0106279345052,1.9988,3.015,1.85500452079108
24,733596.635750868,47.906,3.93955006487928,-2.00728509833341,24.1031919642026,1.9988,3.005,1.85500452079108
24,733596.635750868,57.328,3.93045366689732,-2.00934045783807,24.1916207301233,1.9988,2.997,1.85500452079108
24,733596.635750868,66.75,3.92218035297715,-2.01026725903675,24.2943435269004,1.999,2.987,1.85500452079108
24,733596.635750868,76.156,3.91464889974803,-2.01002405497167,24.3826155804364,1.9988,2.979,1.85500452079108
24,733596.635750868,85.594,3.90758470915328,-2.00867077329473,24.4763146429804,1.9988,2.974,1.85500452079108
24,733596.635750868,95.031,3.90126780288413,-2.01062371858544,24.5745782369831,1.999,2.965,1.85500452079108
24,733596.635750868,104.391,3.89521464847867,-2.00961729700827,24.6673722299614,1.9988,2.96,1.85500452079108
24,733596.635750868,113.766,3.88969014327033,-2.00781432176131,24.7605826503341,1.9988,2.956,1.85500452079108
24,733596.635750868,123.125,3.88424177795872,-2.01154042436189,24.8594978571274,1.9988,2.953,1.85500452079108
24,733596.635750868,132.531,3.87912714266222,-2.00809614481215,24.9621994795686,1.9988,2.949,1.85500452079108
24,733596.635750868,141.938,3.87453279986455,-2.01137628874223,25.0478665044854,1.9988,2.945,1.85500452079108
24,733596.635750868,151.328,3.86996557609363,-2.00975665328459,25.1506311622402,1.999,2.943,1.85500452079108
24,733596.635750868,160.735,3.86558618135837,-2.01229481353525,25.2459602506021,1.9988,2.939,1.85500452079108
24,733596.635750868,170.125,3.8613232967475,-2.00754914838471,25.334606396234,1.999,2.937,1.85500452079108
24,733596.635750868,179.531,3.85754191223168,-2.00805946949012,25.4161689755033,1.9988,2.933,1.85500452079108
24,733596.635750868,188.938,3.8533730285948,-2.00981116866387,25.5181196398574,1.9988,2.93,1.85500452079108
24,733596.635750868,198.344,3.84975086758365,-2.01016407860063,25.604064545727,1.9988,2.927,1.85500452079108
24,733596.635750868,207.719,3.84596764611404,-2.00869484092469,25.7059174278579,1.9988,2.924,1.85500452079108
24,733596.635750868,217.172,3.84236148769426,-2.00764692060655,25.7867413204668,1.999,2.922,1.85500452079108
24,733596.635750868,226.578,3.83913536000282,-2.01169148146884,25.87705688267,1.9988,2.919,1.85500452079108
24,733596.635750868,235.938,3.83581302574678,-2.00739067660369,25.9664718127758,1.9988,2.916,1.85500452079108
24,733596.635750868,245.36,3.83224161105692,-2.01168545015925,26.0506836390801,1.9988,2.913,1.85500452079108
24,733596.635750868,254.828,3.82929162494562,-2.00850126912973,26.1342963220969,1.9988,2.91,1.85500452079108
24,733596.635750868,264.188,3.82621205145339,-2.00778268651143,26.2209175041154,1.9988,2.907,1.85500452079108
24,733596.635750868,273.594,3.82318353833552,-2.00695939455263,26.2974116586818,1.9988,2.905,1.85500452079108
24,733596.635750868,283,3.82027722107167,-2.00797032382892,26.3896602247387,1.9988,2.902,1.85500452079108
24,733596.635750868,292.406,3.81724004518189,-2.00899399210289,26.4668687607772,1.9988,2.9,1.85500452079108
24,733596.635750868,301.86,3.81463364783557,-2.00658313922095,26.5570476633124,1.9988,2.897,1.85500452079108
24,733596.635750868,311.219,3.81172965711753,-2.00997028095785,26.6354986762924,1.9988,2.895,1.85500452079108
24,733596.635750868,320.563,3.809130725033,-2.01155731394918,26.7121105337421,1.9988,2.892,1.85500452079108
24,733596.635750868,329.953,3.80644297813321,-2.00878991573332,26.79618176271,1.999,2.89,1.85500452079108
24,733596.635750868,339.328,3.80372699039086,-2.00835781132273,26.8764436108718,1.999,2.887,1.85500452079108
24,733596.635750868,348.688,3.80088419231712,-2.0105523088994,26.9589834143695,1.999,2.885,1.85500452079108
24,733596.635750868,358.063,3.79866883881653,-2.00684669268663,27.0344110452088,1.9988,2.883,1.85500452079108
24,733596.635750868,367.422,3.79611590255805,-2.00706394026431,27.1090584890206,1.9988,2.881,1.85500452079108
24,733596.635750868,376.828,3.7935449339558,-2.00757954309097,27.1865752199461,1.9988,2.879,1.85500452079108
24,733596.635750868,386.235,3.79121485548967,-2.01095727789555,27.2724086518846,1.9988,2.876,1.85500452079108
24,733596.635750868,395.625,3.78868616086145,-2.01126993711223,27.3386860935608,1.9988,2.874,1.85500452079108
24,733596.635750868,405.047,3.7864695945096,-2.00930962214958,27.4304802101322,1.999,2.872,1.85500452079108
24,733596.635750868,414.469,3.7841275012717,-2.00583023835688,27.5062933992134,1.9988,2.87,1.85500452079108
24,733596.635750868,423.86,3.78150945222052,-2.01089345982332,27.576816093004,1.9988,2.868,1.85500452079108
24,733596.635750868,433.266,3.77914909159343,-2.00870506947288,27.6515305777985,1.9988,2.865,1.85500452079108
24,733596.635750868,442.625,3.77694590310034,-2.00678269555004,27.7227291133262,1.9988,2.863,1.85500452079108
24,733596.635750868,452.125,3.77441434119916,-2.01123856848567,27.7989878104454,1.999,2.861,1.85500452079108
24,733596.635750868,461.5,3.7720246590786,-2.01028574535993,27.8620610057732,1.9988,2.859,1.85500452079108
24,733596.635750868,470.86,3.76960452447815,-2.01280082700084,27.9388905821088,1.9988,2.857,1.85500452079108
24,733596.635750868,480.219,3.76735788740426,-2.01104237074742,28.0143257266649,1.9988,2.855,1.85500452079108
24,733596.635750868,489.641,3.76511344024858,-2.00853854788381,28.0744613521994,1.9988,2.853,1.85500452079108
24,733596.635750868,499,3.76268646372142,-2.00887535733567,28.1329798518662,1.999,2.851,1.85500452079108
24,733596.635750868,508.391,3.76032237865557,-2.00829543868746,28.2073045119653,1.9988,2.848,1.85500452079108
24,733596.635750868,517.735,3.75800131984011,-2.00884376557554,28.269847586064,1.9988,2.846,1.85500452079108
24,733596.635750868,527.078,3.75580073525919,-2.00877000893439,28.3278910933725,1.9988,2.843,1.85500452079108
24,733596.635750868,536.422,3.75327293430689,-2.00761664555579,28.3884991755207,1.9988,2.842,1.85500452079108
24,733596.635750868,545.813,3.75106759498978,-2.00829686769663,28.4567372337306,1.9988,2.839,1.85500452079108
24,733596.635750868,555.188,3.74884747206876,-2.00953616067752,28.5153611103344,1.9988,2.837,1.85500452079108
24,733596.635750868,564.547,3.74639874927505,-2.00832289913677,28.5730245356909,1.9988,2.835,1.85500452079108
24,733596.635750868,573.938,3.74425119913783,-2.00819279479453,28.6370210339915,1.9988,2.833,1.85500452079108
24,733596.635750868,583.313,3.74188429081379,-2.00925790336227,28.689762125868,1.9988,2.831,1.85500452079108
24,733596.635750868,592.688,3.73974034300382,-2.01007864200962,28.7456471700585,1.9988,2.829,1.85500452079108
24,733596.635750868,602.047,3.73761989698936,-2.01030478035501,28.7891190506243,1.9988,2.826,1.85500452079108
24,733596.635750868,611.469,3.73531268757395,-2.00886767168433,28.8283431011417,1.9988,2.824,1.85500452079108
24,733596.635750868,620.906,3.73307675243733,-2.00968435750641,28.8796111978787,1.9988,2.822,1.85500452079108
24,733596.635750868,630.281,3.73096341451996,-2.00946224619719,28.9307826044495,1.999,2.819,1.85500452079108
24,733596.635750868,639.641,3.728851850946,-2.00905051981669,28.9841502755756,1.999,2.817,1.85500452079108
24,733596.635750868,649.016,3.72662533635605,-2.00927256768804,29.0273792027401,1.999,2.815,1.85500452079108
24,733596.635750868,658.406,3.72444617570193,-2.00664137424928,29.0570460569676,1.999,2.813,1.85500452079108
24,733596.635750868,667.781,3.72234861949082,-2.01089856022223,29.0986886863953,1.9988,2.811,1.85500452079108
24,733596.635750868,677.172,3.72016454236584,-2.00818420833638,29.1465773362743,1.9988,2.809,1.85500452079108
24,733596.635750868,686.516,3.7179918281043,-2.0075810835306,29.1686319748749,1.9988,2.807,1.85500452079108
24,733596.635750868,695.922,3.71594299502669,-2.00965461463668,29.2057685875042,1.999,2.805,1.85500452079108
24,733596.635750868,705.313,3.71409409225149,-2.00742784049469,29.2470035982396,1.9988,2.804,1.85500452079108
24,733596.635750868,714.735,3.71173278064775,-2.00758538911509,29.2795142984438,1.999,2.801,1.85500452079108
