Capacity,delta_3_85_3_86,delta_3_86_3_87,delta_3_87_3_88,delta_3_88_3_89,delta_3_89_3_90,delta_3_90_3_91,delta_3_91_3_92,delta_3_92_3_93,delta_3_93_3_94,delta_3_94_3_95,delta_3_95_3_96,delta_3_96_3_97,delta_3_97_3_98,delta_3_98_3_99,delta_3_99_4_00,delta_4_00_4_01,delta_4_01_4_02,delta_4_02_4_03,delta_4_03_4_04,delta_4_04_4_05,delta_4_05_4_06,delta_4_06_4_07,delta_4_07_4_08,delta_4_08_4_09,delta_4_09_4_10,delta_4_10_4_11,delta_4_11_4_12,delta_4_12_4_13,delta_4_13_4_14,delta_4_14_4_15,delta_4_15_4_16,delta_4_16_4_17,delta_4_17_4_18,delta_4_18_4_19,delta_4_19_4_20,curr_zerotime,temp_mean,charge_cycle
1.8564874208181574,58.406000000000006,49.82900000000001,56.311999999999955,54.625,57.53100000000006,55.71899999999994,63.327999999999975,77.25,87.42200000000003,111.26600000000008,119.82799999999997,121.9369999999999,115.70299999999997,122.67200000000003,128.36000000000013,124.8119999999999,112.29700000000003,116.04700000000003,97.04700000000003,89.67200000000003,93.0,86.63999999999987,79.34400000000005,71.3130000000001,78.96799999999985,70.11000000000013,61.46799999999985,73.375,64.39100000000008,65.75,67.125,66.40599999999995,76.92200000000003,67.36000000000013,57.03099999999995,6892.734,26.66219598419627,1
1.846327249719927,55.343999999999994,50.188000000000045,56.936999999999955,55.5,58.21900000000005,56.21899999999994,69.25,78.23400000000004,100.59400000000005,113.95299999999997,122.76499999999987,110.51600000000008,124.90599999999995,124.09400000000005,121.04700000000003,125.82799999999997,112.73399999999992,99.0630000000001,105.45299999999997,81.51600000000008,93.78099999999995,77.42200000000003,79.625,81.3119999999999,68.8130000000001,60.358999999999924,72.0630000000001,63.108999999999924,75.125,65.76600000000008,55.84299999999985,66.26600000000008,76.46900000000005,67.10899999999992,56.9380000000001,6692.999999999999,26.820697760680773,2
1.8353491942234077,51.64100000000002,49.92199999999997,56.50000000000006,55.18700000000001,58.09399999999994,60.985000000000014,69.18700000000001,83.79700000000003,101.01599999999996,114.40599999999995,123.2650000000001,110.75,125.6099999999999,124.96900000000005,121.7650000000001,118.1099999999999,112.90599999999995,99.34400000000005,96.38999999999987,90.32799999999997,83.96900000000005,86.64100000000008,79.65599999999995,71.45299999999997,68.53099999999995,70.375,61.59400000000005,62.983999999999924,75.0,65.78200000000015,55.75,66.875,65.51499999999987,66.76600000000008,67.96900000000005,6699.015000000001,26.739160217524187,3
1.8352625275821128,51.81200000000001,50.39100000000002,57.047000000000025,55.483999999999924,58.18799999999999,61.297000000000025,69.59300000000007,84.39099999999996,107.28099999999995,115.64099999999996,118.0,119.10900000000015,119.42200000000003,125.95299999999997,122.01599999999985,110.21900000000005,112.5,107.5,87.4369999999999,90.9380000000001,84.57799999999997,87.42200000000003,69.78099999999995,81.17200000000003,68.92200000000003,60.40599999999995,72.17200000000003,63.108999999999924,64.5,65.875,66.98500000000013,66.375,65.48399999999992,55.733999999999924,68.0,6519.094,26.68058893855192,4
1.8346455082120419,52.172000000000025,50.81299999999999,53.264999999999986,60.21900000000005,54.108999999999924,66.375,70.29700000000003,85.18799999999999,102.53100000000006,122.39099999999985,111.8280000000002,119.38999999999987,119.3130000000001,117.63999999999987,130.03200000000015,119.0619999999999,104.375,107.65599999999995,87.6880000000001,91.01600000000008,84.65599999999995,87.67200000000003,70.13999999999987,71.01600000000008,79.1869999999999,60.766000000000076,72.5,63.59400000000005,64.76499999999987,55.03200000000015,67.25,66.59299999999985,65.75,55.8130000000001,68.34400000000005,6650.4220000000005,26.593699265476594,5
1.8356616600675495,52.672000000000025,51.343999999999994,53.79699999999997,56.18700000000001,59.01599999999996,62.125,70.5,90.95300000000009,103.43799999999999,117.06200000000001,119.42200000000003,120.39099999999985,120.53100000000018,118.63999999999987,122.67200000000003,119.6099999999999,104.7030000000002,98.78099999999995,96.8130000000001,91.59299999999985,85.1880000000001,78.15599999999995,80.26600000000008,70.6869999999999,69.0630000000001,70.90599999999995,62.016000000000076,63.28099999999995,64.5,65.90599999999995,67.34400000000005,55.233999999999924,65.875,67.17200000000003,57.077999999999975,6498.843999999999,26.71156368502566,6
1.8351461429226603,52.89099999999996,51.468999999999994,53.98400000000004,56.68799999999999,59.625,62.327999999999975,76.32799999999997,86.56200000000001,110.06299999999999,118.46900000000005,120.75,114.46800000000007,121.51599999999985,119.64100000000008,114.78099999999995,120.06200000000013,105.45399999999995,107.65599999999995,88.59400000000005,91.875,85.45299999999997,78.5,70.45299999999997,80.53099999999995,69.23399999999992,71.01600000000008,62.391000000000076,63.4369999999999,64.67200000000003,55.0,67.28099999999995,66.04700000000003,65.82799999999997,55.84400000000005,68.32799999999997,6551.375,26.76062782104246,7
1.8257567905665537,52.436999999999955,51.07900000000001,53.48400000000004,60.327999999999975,58.922000000000025,62.047000000000025,75.45299999999997,91.20299999999997,103.46900000000005,123.71900000000005,119.90599999999995,113.79700000000003,113.07799999999997,126.78099999999995,122.59400000000005,111.20299999999997,113.60899999999992,89.9380000000001,96.98399999999992,91.5630000000001,75.4369999999999,87.78099999999995,70.21900000000005,71.14100000000008,68.79700000000003,70.5,61.8119999999999,63.0630000000001,64.17200000000003,65.46799999999985,66.82799999999997,55.422000000000025,65.39100000000008,66.76600000000008,56.63999999999987,6390.015999999998,26.785349095611203,8
1.8247738529891333,48.889999999999986,55.156000000000006,53.82899999999995,56.45300000000009,59.18700000000001,62.202999999999975,75.84399999999994,86.25,109.59400000000005,124.62499999999989,114.03100000000018,114.07799999999997,120.82799999999997,119.09400000000005,123.18799999999987,111.84300000000007,105.20299999999997,98.96900000000005,96.75,82.36000000000013,84.75,87.63999999999987,70.03099999999995,71.15700000000015,69.0,70.67200000000003,61.9369999999999,63.21900000000005,64.42200000000003,65.9369999999999,55.875,67.125,65.64100000000008,55.75,68.07799999999997,6460.234,26.740391251179755,9
1.824613268496936,52.718999999999994,51.45300000000003,53.70300000000003,56.26599999999996,64.09400000000005,57.608999999999924,76.15600000000006,91.82799999999997,110.125,118.56299999999999,113.92200000000003,121.375,113.54700000000003,119.3119999999999,114.64100000000008,119.79700000000003,104.95299999999997,98.98399999999992,96.6880000000001,91.26499999999987,75.36000000000013,87.63999999999987,70.04700000000003,71.09400000000005,68.92200000000003,70.46900000000005,61.827999999999975,63.233999999999924,64.46900000000005,65.76499999999987,55.875,66.875,65.59400000000005,55.5,67.90599999999995,6375.875,26.65166286869703,10
